placa,timestamp,peaje_id,es_vi
VER-819,2024-01-06 15:13:35,P08,0
WXZ-021,2024-01-06 15:25:10,P01,0
NND-007,2024-01-06 15:31:22,P10,0
WXZ-021,2024-01-06 16:10:10,P02,0
WXZ-021,2024-01-06 16:45:10,P03,0
PXS-377,2024-01-06 17:12:28,P03,0
WXZ-021,2024-01-06 17:32:10,P07,0
PXS-377,2024-01-06 18:12:28,P09,0
PXS-377,2024-01-06 18:49:28,P10,0
BXM-956,2024-01-06 23:59:09,P04,0
BXM-956,2024-01-07 00:40:09,P07,0
BXM-956,2024-01-07 01:31:09,P09,0
RAT-061,2024-01-07 06:25:29,P04,0
BRH-702,2024-01-07 07:07:06,P04,0
RAT-061,2024-01-07 07:15:29,P05,0
BRH-702,2024-01-07 07:57:06,P05,0
RAT-061,2024-01-07 08:08:29,P06,0
BRH-702,2024-01-07 08:48:06,P06,0
RAT-061,2024-01-07 09:08:29,P08,0
BRH-702,2024-01-07 09:37:06,P08,0
TUF-230,2024-01-07 10:23:59,P04,0
TUF-230,2024-01-07 11:19:59,P07,0
TUF-230,2024-01-07 12:15:59,P09,0
JJC-223,2024-01-07 14:38:27,P03,0
JJC-223,2024-01-07 15:27:27,P09,0
JJC-223,2024-01-07 16:12:27,P10,0
RYR-709,2024-01-08 10:13:13,P03,0
RYR-709,2024-01-08 10:49:13,P09,0
RYR-709,2024-01-08 11:50:13,P10,0
KJU-914,2024-01-08 19:51:36,P07,0
KJU-914,2024-01-08 20:36:36,P08,0
RRY-967,2024-01-09 02:27:13,P04,0
JTJ-756,2024-01-09 02:31:10,P04,0
JTJ-756,2024-01-09 03:23:10,P05,0
RRY-967,2024-01-09 03:24:13,P07,0
JTJ-756,2024-01-09 04:09:10,P06,0
RRY-967,2024-01-09 04:09:13,P09,0
SDL-768,2024-01-09 04:41:32,P04,0
JTJ-756,2024-01-09 05:00:10,P08,0
SDL-768,2024-01-09 05:42:32,P07,0
SDL-768,2024-01-09 06:29:32,P09,0
CZT-979,2024-01-09 07:50:07,P07,0
CZT-979,2024-01-09 08:50:07,P08,0
YTN-018,2024-01-09 09:04:18,P04,0
ZYP-552,2024-01-09 09:45:31,P04,0
YTN-018,2024-01-09 10:02:18,P05,0
ZYP-552,2024-01-09 10:24:31,P07,0
YTN-018,2024-01-09 11:04:18,P06,0
ZYP-552,2024-01-09 11:18:31,P09,0
VFF-262,2024-01-09 11:32:02,P07,0
YTN-018,2024-01-09 11:55:18,P08,0
VFF-262,2024-01-09 12:27:02,P08,0
JJC-223,2024-01-09 15:36:59,P04,0
JJC-223,2024-01-09 16:31:59,P07,0
JJC-223,2024-01-09 17:34:59,P09,0
EXE-992,2024-01-09 22:04:52,P01,0
EXE-992,2024-01-09 22:55:52,P02,0
EXE-992,2024-01-09 23:39:52,P03,0
UNE-670,2024-01-09 23:59:27,P01,0
EXE-992,2024-01-10 00:41:52,P07,0
UNE-670,2024-01-10 00:49:27,P02,0
XUN-738,2024-01-10 01:27:57,P01,0
UNE-670,2024-01-10 01:29:27,P03,0
EXE-992,2024-01-10 01:36:52,P08,0
XUN-738,2024-01-10 02:11:57,P02,0
UNE-670,2024-01-10 02:12:27,P07,0
EXE-992,2024-01-10 02:28:52,P05,0
XUN-738,2024-01-10 02:50:57,P03,0
EXE-992,2024-01-10 03:09:52,P06,0
GAN-627,2024-01-10 03:12:28,P01,0
XUN-738,2024-01-10 03:50:57,P07,0
GAN-627,2024-01-10 03:54:28,P02,0
XYX-556,2024-01-10 04:05:30,P04,0
GAN-627,2024-01-10 04:52:28,P03,0
XUN-738,2024-01-10 04:53:57,P08,0
XYX-556,2024-01-10 05:07:30,P07,0
XUN-738,2024-01-10 05:32:57,P05,0
GAN-627,2024-01-10 05:48:28,P07,0
XYX-556,2024-01-10 05:53:30,P09,0
XUN-738,2024-01-10 06:16:57,P06,0
HJG-028,2024-01-10 06:44:09,P04,0
HJG-028,2024-01-10 07:44:09,P05,0
HJG-028,2024-01-10 08:31:09,P06,0
HJG-028,2024-01-10 09:25:09,P08,0
JET-420,2024-01-10 10:57:32,P01,0
JET-420,2024-01-10 11:37:32,P02,0
JET-420,2024-01-10 12:21:32,P03,0
REW-912,2024-01-10 12:29:24,P01,0
REW-912,2024-01-10 13:12:24,P02,0
JET-420,2024-01-10 13:16:32,P07,0
YXP-616,2024-01-10 13:45:50,P07,0
JET-420,2024-01-10 14:00:32,P08,0
REW-912,2024-01-10 14:01:24,P03,0
VDD-943,2024-01-10 14:04:42,P03,0
REW-912,2024-01-10 14:38:24,P07,0
JET-420,2024-01-10 14:47:32,P05,0
YXP-616,2024-01-10 14:47:50,P08,0
VDD-943,2024-01-10 14:56:42,P09,0
VDD-943,2024-01-10 15:34:42,P10,0
JET-420,2024-01-10 15:38:32,P06,0
REW-912,2024-01-10 15:41:24,P08,0
REW-912,2024-01-10 16:21:24,P05,0
REW-912,2024-01-10 17:12:24,P06,0
CRZ-195,2024-01-11 02:27:14,P04,0
CRZ-195,2024-01-11 03:28:14,P05,0
CRZ-195,2024-01-11 04:14:14,P06,0
VPB-066,2024-01-11 04:33:52,P04,0
CRZ-195,2024-01-11 05:05:14,P08,0
VPB-066,2024-01-11 05:27:52,P07,0
VPB-066,2024-01-11 06:19:52,P09,0
JCW-895,2024-01-11 08:46:36,P01,0
JCW-895,2024-01-11 09:29:36,P02,0
ZZM-344,2024-01-11 09:38:24,P01,0
ZZM-344,2024-01-11 10:15:24,P02,0
JCW-895,2024-01-11 10:29:36,P03,0
JCW-895,2024-01-11 11:07:36,P07,0
ZZM-344,2024-01-11 11:19:24,P03,0
DYB-949,2024-01-11 11:46:35,P04,0
ZZM-344,2024-01-11 12:12:24,P07,0
BHG-991,2024-01-11 12:19:40,P01,0
DYB-949,2024-01-11 12:48:35,P05,0
BHG-991,2024-01-11 13:18:40,P02,0
DYB-949,2024-01-11 13:51:35,P06,0
BHG-991,2024-01-11 14:14:40,P03,0
DYB-949,2024-01-11 14:41:35,P08,0
BHG-991,2024-01-11 15:04:40,P07,0
YXF-048,2024-01-11 15:45:59,P03,0
JAH-617,2024-01-11 16:36:20,P01,0
YXF-048,2024-01-11 16:45:59,P09,0
JAH-617,2024-01-11 17:30:20,P02,0
YXF-048,2024-01-11 17:49:59,P10,0
JAH-617,2024-01-11 18:12:20,P03,0
JAH-617,2024-01-11 18:57:20,P07,0
YPE-034,2024-01-11 21:36:08,P07,0
YPE-034,2024-01-11 22:38:08,P08,0
GZE-066,2024-01-12 00:54:52,P04,0
GZE-066,2024-01-12 01:50:52,P07,0
GZE-066,2024-01-12 02:35:52,P09,0
RSX-428,2024-01-12 02:50:52,P07,0
RSX-428,2024-01-12 03:43:52,P08,0
KVT-439,2024-01-12 04:30:49,P03,0
KVT-439,2024-01-12 05:09:49,P09,0
KVT-439,2024-01-12 06:03:49,P10,0
ESV-320,2024-01-12 06:19:41,P04,0
BFU-112,2024-01-12 06:28:57,P04,0
ESV-320,2024-01-12 07:04:41,P05,0
BFU-112,2024-01-12 07:14:57,P07,0
YBK-845,2024-01-12 07:33:49,P01,0
HCY-417,2024-01-12 07:48:13,P01,1
ESV-320,2024-01-12 07:56:41,P06,0
BFU-112,2024-01-12 07:58:57,P09,0
YBK-845,2024-01-12 08:10:49,P02,0
HCY-417,2024-01-12 08:38:13,P02,1
ESV-320,2024-01-12 08:59:41,P08,0
YBK-845,2024-01-12 09:04:49,P03,0
HCY-417,2024-01-12 09:25:13,P03,1
YBK-845,2024-01-12 10:03:49,P07,0
HCY-417,2024-01-12 10:17:13,P07,1
XJK-384,2024-01-12 14:20:21,P01,0
XJK-384,2024-01-12 15:00:21,P02,0
XJK-384,2024-01-12 15:47:21,P03,0
TFV-817,2024-01-12 16:15:23,P04,0
XJK-384,2024-01-12 16:32:21,P07,0
TFV-817,2024-01-12 17:02:23,P05,0
XJK-384,2024-01-12 17:20:21,P08,0
TFV-817,2024-01-12 17:38:23,P06,0
XJK-384,2024-01-12 17:56:21,P05,0
TFV-817,2024-01-12 18:15:23,P08,0
XJK-384,2024-01-12 18:38:21,P06,0
ARB-587,2024-01-12 21:25:57,P03,0
ARB-587,2024-01-12 22:17:57,P09,0
ARB-587,2024-01-12 22:57:57,P10,0
VNM-459,2024-01-13 06:12:45,P01,0
VNM-459,2024-01-13 06:52:45,P02,0
VNM-459,2024-01-13 07:50:45,P03,0
NJC-657,2024-01-13 08:36:02,P04,0
RYZ-191,2024-01-13 08:44:15,P04,0
VNM-459,2024-01-13 08:50:45,P07,0
HDB-559,2024-01-13 09:05:34,P04,1
JEA-297,2024-01-13 09:28:06,P04,0
NJC-657,2024-01-13 09:31:02,P05,0
RYZ-191,2024-01-13 09:33:15,P05,0
NVG-033,2024-01-13 09:34:06,P04,0
HDB-559,2024-01-13 09:41:34,P05,1
VNM-459,2024-01-13 09:53:45,P08,0
NVG-033,2024-01-13 10:09:06,P05,0
NJC-657,2024-01-13 10:16:02,P06,0
RYZ-191,2024-01-13 10:24:15,P06,0
JEA-297,2024-01-13 10:25:06,P05,0
HDB-559,2024-01-13 10:41:34,P06,1
VNM-459,2024-01-13 10:41:45,P05,0
NJC-657,2024-01-13 10:58:02,P08,0
JEA-297,2024-01-13 11:04:06,P06,0
RYZ-191,2024-01-13 11:06:15,P08,0
NVG-033,2024-01-13 11:12:06,P06,0
VNM-459,2024-01-13 11:27:45,P06,0
HDB-559,2024-01-13 11:32:34,P08,1
NVG-033,2024-01-13 11:51:06,P08,0
JEA-297,2024-01-13 12:00:06,P08,0
EHK-098,2024-01-13 20:41:28,P04,0
EHK-098,2024-01-13 21:17:28,P07,0
KZC-187,2024-01-13 22:04:31,P01,0
EHK-098,2024-01-13 22:07:28,P09,0
KZC-187,2024-01-13 22:51:31,P02,0
KZC-187,2024-01-13 23:34:31,P03,0
KZC-187,2024-01-14 00:28:31,P07,0
JTJ-756,2024-01-14 07:58:02,P01,0
ZCM-924,2024-01-14 08:20:24,P04,0
JTJ-756,2024-01-14 08:55:02,P02,0
ZCM-924,2024-01-14 09:14:24,P07,0
JTJ-756,2024-01-14 09:50:02,P03,0
ZCM-924,2024-01-14 10:16:24,P09,0
JTJ-756,2024-01-14 10:28:02,P07,0
YYC-105,2024-01-14 12:04:30,P03,0
YYC-105,2024-01-14 13:06:30,P09,0
MMW-968,2024-01-14 13:17:43,P04,0
MBA-667,2024-01-14 13:24:19,P04,0
MFB-409,2024-01-14 13:44:42,P04,1
YYC-105,2024-01-14 14:00:30,P10,0
MBA-667,2024-01-14 14:09:19,P07,0
MMW-968,2024-01-14 14:12:43,P07,0
MFB-409,2024-01-14 14:41:42,P07,1
MMW-968,2024-01-14 15:00:43,P09,0
MBA-667,2024-01-14 15:02:19,P09,0
MFB-409,2024-01-14 15:43:42,P09,1
PPL-334,2024-01-14 17:43:50,P01,0
PPL-334,2024-01-14 18:45:50,P02,0
VPB-066,2024-01-14 19:31:42,P01,0
PPL-334,2024-01-14 19:41:50,P03,0
VPB-066,2024-01-14 20:35:42,P02,0
PPL-334,2024-01-14 20:41:50,P07,0
VPB-066,2024-01-14 21:25:42,P03,0
VPB-066,2024-01-14 22:17:42,P07,0
EHK-098,2024-01-14 23:28:59,P07,0
EHK-098,2024-01-15 00:27:59,P08,0
TVZ-949,2024-01-15 05:20:07,P04,0
TVZ-949,2024-01-15 06:18:07,P05,0
TVZ-949,2024-01-15 07:20:07,P06,0
TVZ-949,2024-01-15 08:22:07,P08,0
TVZ-949,2024-01-15 18:03:54,P07,0
TVZ-949,2024-01-15 19:01:54,P08,0
KGT-659,2024-01-16 03:20:14,P04,0
KGT-659,2024-01-16 03:55:14,P07,0
KGT-659,2024-01-16 04:41:14,P09,0
APV-115,2024-01-16 09:23:05,P04,0
APV-115,2024-01-16 10:14:05,P05,0
APV-115,2024-01-16 10:59:05,P06,0
APV-115,2024-01-16 11:50:05,P08,0
WTG-833,2024-01-16 14:53:10,P07,0
WTG-833,2024-01-16 15:50:10,P08,0
MSS-463,2024-01-16 17:04:13,P01,0
MSS-463,2024-01-16 17:49:13,P02,0
VTN-721,2024-01-16 18:06:52,P01,0
MSS-463,2024-01-16 18:44:13,P03,0
VTN-721,2024-01-16 18:57:52,P02,0
MSS-463,2024-01-16 19:21:13,P07,0
VTN-721,2024-01-16 19:59:52,P03,0
BTW-712,2024-01-16 20:21:17,P01,0
VTN-721,2024-01-16 20:57:52,P07,0
BTW-712,2024-01-16 21:03:17,P02,0
BTW-712,2024-01-16 21:48:17,P03,0
VTN-721,2024-01-16 21:51:52,P08,0
BTW-712,2024-01-16 22:42:17,P07,0
VTN-721,2024-01-16 22:48:52,P05,0
HDB-559,2024-01-16 22:54:26,P04,1
FNW-267,2024-01-16 23:18:24,P04,0
VTN-721,2024-01-16 23:40:52,P06,0
HDB-559,2024-01-16 23:52:26,P05,1
FNW-267,2024-01-17 00:02:24,P05,0
YXF-048,2024-01-17 00:40:22,P01,0
HDB-559,2024-01-17 00:44:26,P06,1
FNW-267,2024-01-17 00:57:24,P06,0
HDB-559,2024-01-17 01:33:26,P08,1
FNW-267,2024-01-17 01:36:24,P08,0
YXF-048,2024-01-17 01:41:22,P02,0
YXF-048,2024-01-17 02:26:22,P03,0
YXF-048,2024-01-17 03:15:22,P07,0
BHG-991,2024-01-17 06:35:50,P01,0
BHG-991,2024-01-17 07:23:50,P02,0
BHG-991,2024-01-17 08:26:50,P03,0
BHG-991,2024-01-17 09:19:50,P07,0
RSX-428,2024-01-17 09:34:02,P03,0
RSX-428,2024-01-17 10:33:02,P09,0
RSX-428,2024-01-17 11:08:02,P10,0
YBK-845,2024-01-17 11:42:27,P01,0
HCY-417,2024-01-17 11:57:52,P01,1
JJC-223,2024-01-17 12:16:01,P01,0
ELD-205,2024-01-17 12:26:37,P01,0
HCY-417,2024-01-17 12:40:52,P02,1
ESV-320,2024-01-17 12:42:07,P04,0
YBK-845,2024-01-17 12:43:27,P02,0
JJC-223,2024-01-17 12:52:01,P02,0
ELD-205,2024-01-17 13:11:37,P02,0
YBK-845,2024-01-17 13:36:27,P03,0
HCY-417,2024-01-17 13:38:52,P03,1
JJC-223,2024-01-17 13:40:01,P03,0
ESV-320,2024-01-17 13:45:07,P07,0
ELD-205,2024-01-17 14:02:37,P03,0
HCY-417,2024-01-17 14:13:52,P07,1
JJC-223,2024-01-17 14:23:01,P07,0
ESV-320,2024-01-17 14:30:07,P09,0
YBK-845,2024-01-17 14:32:27,P07,0
HCY-417,2024-01-17 14:59:52,P08,1
JJC-223,2024-01-17 15:00:01,P08,0
ELD-205,2024-01-17 15:05:37,P07,0
YBK-845,2024-01-17 15:30:27,P08,0
HCY-417,2024-01-17 15:41:52,P05,1
JJC-223,2024-01-17 15:55:01,P05,0
ELD-205,2024-01-17 15:56:37,P08,0
YBK-845,2024-01-17 16:29:27,P05,0
HCY-417,2024-01-17 16:39:52,P06,1
ELD-205,2024-01-17 16:54:37,P05,0
JJC-223,2024-01-17 16:55:01,P06,0
YBK-845,2024-01-17 17:10:27,P06,0
ELD-205,2024-01-17 17:32:37,P06,0
ECM-752,2024-01-17 22:46:52,P04,0
NGD-307,2024-01-17 22:56:53,P04,0
GSS-830,2024-01-17 23:00:06,P04,0
VZL-743,2024-01-17 23:08:09,P04,1
YHB-400,2024-01-17 23:30:27,P04,0
ECM-752,2024-01-17 23:46:52,P05,0
GSS-830,2024-01-17 23:54:06,P05,0
NGD-307,2024-01-17 23:56:53,P05,0
VZL-743,2024-01-18 00:02:09,P05,1
YHB-400,2024-01-18 00:20:27,P05,0
ECM-752,2024-01-18 00:34:52,P06,0
NGD-307,2024-01-18 00:34:53,P06,0
GSS-830,2024-01-18 00:51:06,P06,0
YHB-400,2024-01-18 01:01:27,P06,0
VZL-743,2024-01-18 01:04:09,P06,1
ECM-752,2024-01-18 01:10:52,P08,0
NGD-307,2024-01-18 01:23:53,P08,0
VZL-743,2024-01-18 01:53:09,P08,1
GSS-830,2024-01-18 01:55:06,P08,0
YHB-400,2024-01-18 01:55:27,P08,0
JAH-617,2024-01-18 02:19:20,P04,0
RCP-031,2024-01-18 02:41:41,P04,1
CJT-038,2024-01-18 02:46:08,P04,0
JAH-617,2024-01-18 03:17:20,P07,0
CJT-038,2024-01-18 03:28:08,P05,0
RCP-031,2024-01-18 03:34:41,P07,1
JAH-617,2024-01-18 03:55:20,P09,0
CJT-038,2024-01-18 04:09:08,P06,0
RCP-031,2024-01-18 04:30:41,P09,1
CJT-038,2024-01-18 05:13:08,P08,0
YHB-400,2024-01-18 06:04:47,P04,0
YHB-400,2024-01-18 06:48:47,P05,0
YHB-400,2024-01-18 07:47:47,P06,0
YHB-400,2024-01-18 08:23:47,P08,0
XDK-487,2024-01-18 08:42:14,P01,0
XDK-487,2024-01-18 09:37:14,P02,0
XDK-487,2024-01-18 10:19:14,P03,0
XDK-487,2024-01-18 11:21:14,P07,0
XDK-487,2024-01-18 12:00:14,P08,0
XDK-487,2024-01-18 12:51:14,P05,0
XDK-487,2024-01-18 13:30:14,P06,0
RYZ-191,2024-01-18 14:06:43,P04,0
RYZ-191,2024-01-18 15:10:43,P07,0
TVZ-949,2024-01-18 16:02:14,P04,0
RYZ-191,2024-01-18 16:04:43,P09,0
TVZ-949,2024-01-18 16:52:14,P05,0
TVZ-949,2024-01-18 17:29:14,P06,0
TVZ-949,2024-01-18 18:16:14,P08,0
TMP-452,2024-01-18 19:15:12,P01,0
VGC-193,2024-01-18 19:58:44,P03,0
TMP-452,2024-01-18 20:02:12,P02,0
TMP-452,2024-01-18 20:57:12,P03,0
VGC-193,2024-01-18 21:02:44,P09,0
TMP-452,2024-01-18 21:30:36,P01,0
VGC-193,2024-01-18 21:39:44,P10,0
TMP-452,2024-01-18 21:57:12,P07,0
TMP-452,2024-01-18 22:26:36,P02,0
TMP-452,2024-01-18 22:49:12,P08,0
TMP-452,2024-01-18 23:05:36,P03,0
TMP-452,2024-01-18 23:36:12,P05,0
TMP-452,2024-01-19 00:09:36,P07,0
TMP-452,2024-01-19 00:31:12,P06,0
TMP-452,2024-01-19 01:06:36,P08,0
TMP-452,2024-01-19 01:42:36,P05,0
TMP-452,2024-01-19 02:46:36,P06,0
ZZS-573,2024-01-19 04:21:29,P04,0
ZZS-573,2024-01-19 05:24:29,P05,0
ZZS-573,2024-01-19 06:09:29,P06,0
ZZS-573,2024-01-19 07:08:29,P08,0
ARH-334,2024-01-19 08:10:45,P07,0
ARH-334,2024-01-19 08:56:45,P08,0
TXP-802,2024-01-19 09:03:39,P04,0
TXP-802,2024-01-19 09:55:39,P07,0
BNF-480,2024-01-19 10:16:13,P04,0
YZV-748,2024-01-19 10:55:02,P04,0
TXP-802,2024-01-19 10:59:39,P09,0
BNF-480,2024-01-19 11:10:13,P05,0
YZV-748,2024-01-19 11:47:02,P05,0
BNF-480,2024-01-19 11:59:13,P06,0
YZV-748,2024-01-19 12:37:02,P06,0
BNF-480,2024-01-19 12:47:13,P08,0
YZV-748,2024-01-19 13:31:02,P08,0
ESV-320,2024-01-19 16:49:37,P07,0
ESV-320,2024-01-19 17:33:37,P08,0
BNF-480,2024-01-20 02:42:28,P04,0
BNF-480,2024-01-20 03:44:28,P05,0
BNF-480,2024-01-20 04:21:28,P06,0
NSN-251,2024-01-20 04:31:28,P07,0
BNF-480,2024-01-20 05:17:28,P08,0
NSN-251,2024-01-20 05:35:28,P08,0
WXZ-021,2024-01-20 08:57:59,P07,0
WXZ-021,2024-01-20 09:48:59,P08,0
KZC-187,2024-01-20 11:07:21,P04,0
ZZS-573,2024-01-20 11:54:09,P04,0
KZC-187,2024-01-20 12:07:21,P07,0
ZZS-573,2024-01-20 12:51:09,P07,0
KZC-187,2024-01-20 13:07:21,P09,0
ZZS-573,2024-01-20 13:53:09,P09,0
HCY-417,2024-01-20 16:31:35,P07,1
YBK-845,2024-01-20 16:46:22,P07,0
ZCM-924,2024-01-20 16:49:19,P01,0
HCY-417,2024-01-20 17:06:35,P08,1
ZCM-924,2024-01-20 17:25:19,P02,0
